"","state","Year","TotalCrimeRate_Inc","ViolentCrimeRate_Inc","PropCrimeRate_Inc","TotalExpenseRate_Inc","PoliceExpenseRate_Inc","CorrectionExpenseRate_Inc"
"43","United States","1978","-1.22","-4.4","-0.88","-1.43","0.19","-5.1"
"92","United States","1979","-7.64","-9.31","-7.46","3.18","4.09","1.16"
"141","United States","1980","-6.46","-8","-6.29","3.39","5.13","-0.25"
"190","United States","1981","1.71","0.52","1.84","0.27","1.41","-2.03"
"239","United States","1982","4.45","3.98","4.51","-4.15","-2.98","-6.45"
"288","United States","1983","8.13","6.08","8.37","-6.2","-4.23","-9.82"
"337","United States","1984","2.79","-0.33","3.17","-3.82","-1.9","-7.15"
"386","United States","1985","-3.56","-3.26","-3.6","-6.17","-3.96","-9.76"
"435","United States","1986","-5.04","-10","-4.41","-7.7","-5.03","-11.76"
"484","United States","1987","-1.32","1.24","-1.64","-4.87","-4.11","-5.98"
"533","United States","1988","-2.09","-4.39","-1.8","-3.93","-1.05","-7.91"
"582","United States","1989","-1.38","-3.94","-1.04","-2.19","0.12","-5.23"
"631","United States","1990","-0.49","-8.59","0.67","-5.51","-3.24","-8.33"
"680","United States","1991","-1.62","-3.77","-1.31","-3.28","-1.72","-5.15"
"729","United States","1992","4.19","0.07","4.82","-2.5","-3.64","-1.1"
"778","United States","1993","3.18","1.42","3.45","1.29","1.32","1.25"
"827","United States","1994","2.11","4.69","1.71","-3.55","-2.42","-4.9"
"876","United States","1995","1.87","4.25","1.52","-4.28","-2.28","-6.57"
"925","United States","1996","3.68","7.52","3.13","-2.77","-4.53","-0.68"
"974","United States","1997","3.25","4.19","3.12","-2.73","-2.62","-2.86"
"1023","United States","1998","6.65","7.65","6.51","-3.77","-3.77","-3.77"
"1072","United States","1999","8.29","8.53","8.25","-3.13","-2.46","-3.92"
"1121","United States","2000","3.44","3.26","3.46","-0.04","0.23","-0.34"
"1758","United States","2001","-28.61","-25.53","-29.03","5.23","14.3","-5.09"
"1170","United States","2002","0","2.45","-0.34","-5.19","-5.8","-4.47"
"1807","United States","2003","2.35","6.03","1.86","-3.49","-6.34","-0.03"
"1219","United States","2004","3.71","6.74","3.32","0.86","-1.53","3.82"
"1268","United States","2005","1.97","-1.24","2.41","-0.95","-1.3","-0.51"
"1317","United States","2006","1.95","-2.15","2.54","-1.59","-1.53","-1.66"
"1366","United States","2007","2.07","1.59","2.14","-3.82","-3.18","-4.6"
"1415","United States","2008","2.04","2.88","1.92","-1.9","-1.74","-2.11"
"1464","United States","2009","5.76","6.18","5.7","-4.06","-5.27","-2.53"
"1513","United States","2010","3.67","6.77","3.24","3.16","1.6","5.21"
"1562","United States","2011","1.76","4.49","1.39","3.21","2.84","3.71"
"1611","United States","2012","1.13","-0.18","1.3","3.29","2.7","4.08"
"1660","United States","2013","4.61","2.29","4.93","1.27","0.52","2.29"
"1709","United States","2014","4.73","0.9","5.28","-0.54","-0.78","-0.21"
