State,Unemployed,Employed,Homeless,Population,In Poverty,Not in Poverty,Depression Rate,Depression Count,Insured,Uninsured,No high school diploma,Bachelor's degree or higher,Median Income
AL,1687000,1624000,344,4874747,782000,4038000,6.66,324658,4413000,421000,681000,904000,48123
AK,167000,243000,216,739795,89000,618000,7.39,54671,614000,97000,74000,147000,73181
AZ,2185000,2262000,1463,7016270,1108000,5771000,6.03,423081,6057000,834000,995000,1560000,56581
AR,990000,1009000,450,3004279,471000,2470000,8.13,244248,2720000,225000,425000,488000,45869
CA,12148000,13237000,35798,39536653,5435000,33708000,6.04,2388014,36157000,3031000,6035000,9643000,71805
CO,1370000,2169000,2126,5607154,467000,5035000,7.62,427265,4981000,528000,468000,1728000,69117
CT,906000,1307000,387,3588184,351000,3216000,6.84,245432,3352000,219000,409000,1112000,74168
DE,289000,349000,123,961939,110000,837000,6.52,62718,864000,84000,115000,203000,62852
DC,180000,303000,1470,693972,112000,573000,7.28,50521,650000,35000,54000,327000,82372
FL,6907000,7380000,4915,20984400,2659000,17865000,6.12,1284245,18080000,2466000,2356000,4860000,52594
GA,2997000,3811000,963,10429379,1580000,8690000,6.72,700854,9015000,1266000,1320000,2420000,56183
HI,402000,527000,1588,1427538,129000,1263000,5.37,76659,1317000,75000,122000,348000,77765
ID,477000,520000,391,1716943,187000,1492000,7.62,130831,1532000,147000,191000,339000,52225
IL,3462000,4521000,1355,12802023,1517000,11065000,5.62,719474,11676000,931000,1338000,3394000,62992
IN,1848000,2295000,486,6666818,768000,5726000,7.69,512678,6075000,428000,817000,1379000,54181
IA,723000,1140000,170,3145711,302000,2797000,6.69,210448,2944000,162000,276000,719000,58570
KS,733000,1064000,252,2913123,321000,2538000,7.21,210036,2623000,242000,325000,665000,56422
KY,1375000,1447000,383,4454189,667000,3716000,7.55,336291,4117000,271000,638000,773000,48375
LA,1515000,1497000,609,4684333,923000,3650000,6.49,304013,4094000,484000,735000,799000,46145
ME,381000,475000,189,1335907,167000,1150000,7.21,96319,1228000,94000,133000,317000,56277
MD,1582000,2264000,1436,6052177,424000,5506000,6.71,406101,5561000,372000,610000,1812000,80776
MA,1843000,2567000,1238,6859819,649000,6127000,7.48,513114,6400000,379000,646000,2348000,77385
MI,2974000,3504000,709,9962311,1091000,8784000,6.84,681422,9267000,626000,987000,2353000,54909
MN,1293000,2057000,813,5576606,470000,4960000,7.02,391478,5115000,321000,599000,1342000,68388
MS,1024000,968000,61,2984100,622000,2321000,6.04,180240,2596000,352000,408000,447000,43529
MO,1757000,1999000,883,6113532,762000,5116000,6.99,427336,5402000,486000,739000,1282000,53578
MT,288000,347000,182,1050493,121000,910000,7.79,81833,963000,73000,87000,253000,53386
NE,432000,722000,361,1920076,179000,1691000,6.96,133637,1746000,130000,199000,450000,59970
NV,959000,1017000,502,2998039,298000,2643000,7.35,220356,2688000,256000,350000,498000,58003
NH,323000,540000,100,1342795,84000,1232000,7.98,107155,1232000,86000,119000,390000,73381
NJ,2638000,3239000,955,9005644,828000,8008000,6.13,552046,8155000,696000,824000,2683000,80088
NM,714000,612000,712,2088070,364000,1680000,6.71,140109,1815000,230000,302000,390000,46744
NY,6173000,7013000,5087,19849399,2314000,17145000,6.68,1325940,18388000,1094000,2452000,5526000,64894
NC,3049000,3494000,994,10273419,1363000,8693000,7.07,726331,8981000,1087000,1287000,2379000,52752
ND,156000,304000,37,755393,83000,666000,6.8,51367,692000,58000,69000,171000,61843
OH,3220000,4029000,725,11658609,1573000,9869000,7.85,915201,10831000,638000,1170000,2448000,54021
OK,1199000,1365000,578,3930864,571000,3339000,7.5,294815,3509000,412000,518000,833000,50051
OR,1199000,1391000,3120,4142776,486000,3638000,7.89,326865,3912000,218000,458000,1065000,60212
PA,3579000,4431000,1372,12805537,1396000,11130000,6.83,874618,11956000,602000,1347000,2979000,59195
RI,310000,382000,240,1059639,119000,932000,7.23,76612,1004000,50000,137000,314000,19343
SC,1617000,1679000,792,5024369,690000,4208000,6.52,327589,4460000,448000,646000,1159000,63870
SD,211000,307000,101,869666,124000,731000,6.86,59659,788000,67000,95000,171000,50570
TN,2042000,2294000,1295,6715984,988000,5664000,7.06,474148,5929000,745000,782000,1456000,56521
TX,7788000,9845000,3497,28304596,3812000,23851000,5.68,1607701,23432000,4245000,4260000,5777000,51340
UT,696000,1005000,163,3101833,264000,2812000,7.78,241323,2706000,374000,331000,661000,59206
VT,154000,244000,111,623657,60000,562000,7.6,47398,589000,34000,61000,178000,68358
VA,2245000,3115000,864,8470020,929000,7234000,7.94,672520,7361000,814000,966000,2449000,57513
WA,2141000,2494000,4357,7405743,800000,6489000,7.68,568761,6784000,514000,885000,1927000,71535
WV,710000,554000,188,1815857,326000,1482000,8.26,149990,1681000,133000,278000,298000,70979
WI,1449000,2166000,342,5795483,620000,5145000,6.74,390616,5351000,415000,655000,1233000,43469
WY,140000,204000,14,579315,62000,509000,7.54,43680,516000,56000,58000,99000,59305
