,rest_type
0,Afghan Restaurant
1,African Restaurant
2,American Restaurant
3,Armenian Restaurant
4,Asian Restaurant
5,Australian Restaurant
6,Austrian Restaurant
7,BBQ Joint
8,Bagel Shop
9,Bakery
10,Bangladeshi Restaurant
11,Belgian Restaurant
12,Bistro
13,Breakfast Spot
14,Bubble Tea Shop
15,Buffet
16,Burger Joint
17,Cafeteria
18,Caf̩
19,Cajun / Creole Restaurant
20,Caribbean Restaurant
21,Caucasian Restaurant
22,Coffee Shop
23,Comfort Food Restaurant
24,Creperie
25,Czech Restaurant
26,Deli / Bodega
27,Dessert Shop
28,Diner
29,Donut Shop
30,Dumpling Restaurant
31,Dutch Restaurant
32,Eastern European Restaurant
33,English Restaurant
34,Falafel Restaurant
35,Fast Food Restaurant
36,Fish & Chips Shop
37,Fondue Restaurant
38,Food Court
39,Food Stand
40,Food Truck
41,French Restaurant
42,Fried Chicken Joint
43,Friterie
44,Gastropub
45,German Restaurant
46,Gluten-free Restaurant
47,Greek Restaurant
48,Halal Restaurant
49,Hawaiian Restaurant
50,Hot Dog Joint
51,Hungarian Restaurant
52,Indian Restaurant
53,Irish Pub
54,Italian Restaurant
55,Jewish Restaurant
56,Juice Bar
57,Kebab Restaurant
58,Latin American Restaurant
59,Mac & Cheese Joint
60,Mediterranean Restaurant
61,Mexican Restaurant
62,Middle Eastern Restaurant
63,Modern European Restaurant
64,Molecular Gastronomy Restaurant
65,Pakistani Restaurant
66,Pet Caf̩
67,Pizza Place
68,Polish Restaurant
69,Portuguese Restaurant
70,Poutine Place
71,Restaurant
72,Russian Restaurant
73,Salad Place
74,Sandwich Place
75,Scandinavian Restaurant
76,Scottish Restaurant
77,Seafood Restaurant
78,Slovak Restaurant
79,Snack Place
80,Soup Place
81,Southern / Soul Food Restaurant
82,Spanish Restaurant
83,Sri Lankan Restaurant
84,Steakhouse
85,Swiss Restaurant
86,Tea Room
87,Theme Restaurant
88,Turkish Restaurant
89,Ukrainian Restaurant
90,Vegetarian / Vegan Restaurant
91,Wings Joint
